Platform,Service Category,Provider,ID,Name,Rate/1K,Min/Max,Time/Speed
Instagram,Followers,JAP,579,Instagram Followers [SPAM ON] [Max: 1M] [Refill: 30D] [Start Time: 0 - 1 Hour] [Speed: 25K/Day] â™»ï¸ğŸ’§â›”,$4.00,"10/10000000",5 minutes
Instagram,Likes,smm kings,5000,ğŸ’ğŸ‡ºğŸ‡¸ Instagram Likes [USA - Real] [NO-DROP],$2.10,"20/2000",20 minutes
Instagram,Views,JAP,767,Instagram EMERGENCY Views [Max: 500K] [Start Time: 0 - 1 Hr] [Speed: 50K/D] ğŸ’§,$0.0812,"100/100000000",50 hours 34 minutes
Instagram,Comments,smm kings,3917,â™›ğŸ”¥ Instagram Random Emoji Comments [Real/HQ - Max 1K] [S1],$7.50,"1/1,000",-
Instagram,Saves,JAP,778,Instagram Saves [Max: 15K] [Start Time: 0-1 Hour] [Speed: INSTANT] ğŸ’§,$0.075,"10/1000000",40 minutes
Instagram,Shares,JAP,9590,Instagram Shares [Max: 1M] [Start: 0 -1 Hr] [Speed: 100K/D]ğŸ’§â›”,$0.0125,"10/1000000",7 minutes
Instagram,Reposts,Peakerr,10710,Instagram - Reposts | MQ 1M | ğŸ”¥ğŸ”¥ğŸ”,$0.56,"100/1000000",24 minutes
Instagram,Story Views/Clicks/Votes,smm kings,5202,â™›ğŸ”¥ Instagram Story Views [HQ - Max 500K] [ALL POSTS],$0.24,"100/50,000",-
Instagram,Profile Visits/Impressions,smm kings,6028,"â™›ğŸ”¥ Instagram Post/Reel Impressions + Reach [1,000 Per Hour]",$0.07,"2,000/500,000",-
Spotify,Plays Premium,JAP,8437,[EXCLUSIVE] ğŸ‡ºğŸ‡¸ Spotify Premium Algorithmic USA Plays [Refill: Lifetime Guaranteed] [Start Time: 1-12 Hours] [Speed: 2K/Day] â™»ï¸,$0.4725,"500/1,000,000,000",18 hours 46 minutes
Spotify,Monthly Listeners,JAP,8260,ğŸ‡ºğŸ‡¸Spotify USA Monthly Listeners [Refill: No] [Max: 1M] [Start Time: 24 Hours] [Speed: 5K/Day],$2.40,"20/1,000,000",-
Spotify,Followers,JAP,4260,ğŸ‡ºğŸ‡¸ Spotify USA Followers [Refill: Lifetime] [Start Time: 0-12 Hours] [Speed: 10K/Day],$0.6116,"20/100,000",-
Spotify,Saves Track/Playlist,JAP,1358,Spotify Saves [For Track/Album] [Lifetime Guaranteed] [Max: 100K] [Start Time: 1-12 Hours] [Speed: 1.5K-3K/Day] â™»ï¸,$0.2319,"20/1,000,000",-
Spotify,Playlist Plays/Saves,smm kings, 7559,ğŸ‡ºğŸ‡¸ Spotify USA Premium Playlist/Album Plays [Lifetime Guaranteed] [Max: 1M] [Start Time: 1-12 Hours] [Speed: 3.5k/Day] â™»ï¸,$0.4914,"1000/1,000,000",-
YouTube,Shares,JAP,3460,YouTube Social Shares from Facebook [Lifetime Guaranteed] [Max: 10K] [Start Time: 1 Hour] [Speed: 300/Day] â™»ï¸,$0.75,"100/100,000"
YouTube,Subscribers,JAP,6176,Youtube Subscribers [Refill: 90 Days - Auto Refill] [Max: 10K] [Start: 0 - 1 Hour] [Speed: Up to 300/Day]ğŸ’§ğŸ”¥,$18.60,"100/100,000",70 hours 43 minutes
YouTube,Views,JAP,9223,Youtube Views [Refill: LIFETIME ] [2 to 5 Mins Retention] [Max: 100K] [Start Time: 0-2 Hrs] [Speed: Up to 5K/D] ğŸ’§,$1.125,"100/150,000",43 hours 42 minutes
YouTube,Likes,JAP,7431,Youtube USA Likes [Refill: 30 Days] [Max: 50K] [Start Time: 0- 15 Min] [Speed: 20k/Day],$0.875,"10/1,000,000",5 minutes
YouTube,Comments,JAP,9960,Youtube Comments [+Subs + Likes] [Created by AI] [Refill: 30D] [Max: 2K] [Start Time: 0-1 Hr] [Speed: 2K/D],	$5.8125,"10/10,000",4 hours 2 minutes
TikTok,Followers,Peakerr,1811,TikTok - Followers | MQ 100K | R30 | Recommended ğŸ”¥ğŸ”¥ ğŸ”,$1.50,"5/100,000",6 hours 37 minutes
TikTok,Likes,Peakerr,16496,TikTok - Likes | MQ 50K | Speed 1-2K P/D | 0-6 Hours | ğŸ”¥ğŸ”¥ğŸ”,$0.0163,"10/5,000,000",2 hours 27 minutes
TikTok,Views,Peakerr,19200,Tiktok - Views | MQ 2.1B | Super Fast ğŸ”¥ğŸ”¥ğŸ”,$0.0112,"50/100,000,000",8 hours 35 minutes
TikTok,Shares,Peakerr,26319,TikTok - Shares | MQ 1B | HQ | Non Drop | Instant Start | Day 500K | Lifetime,$0.0196,"10/1,000,000,000",30 hours 46 minutes
TikTok,Saves,Peakerr,14917,TikTok - Saves | MQ 10K ğŸ”¥ğŸ”¥ğŸ”,$0.017,"10/2,147,483,647",3 minutes,